source_dataset,building,label_mode,manipulation,level,corrupt_where,split_mode,model,accuracy,macro_precision,macro_recall,macro_f1,runtime_s
LBNL_DataFDD,SZVAV,raw,sampling,6.0,test,stratified,LSTM,0.5433526011560693,0.5612671654359374,0.621159392137653,0.5630044259167732,0.003200531005859375
LBNL_DataFDD,SZVAV,raw,sampling,6.0,test,stratified,CNN-LSTM,0.5433526011560693,0.5457801786922477,0.6057600813035595,0.5549192841496432,0.0024445056915283203
LBNL_DataFDD,SZVAV,raw,sampling,6.0,test,stratified,Informer,0.8631984585741811,0.8916708847081544,0.8936474556039773,0.8918823958908145,0.007862091064453125
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,LinearSVM,0.6884002057613169,0.6463877638179347,0.6775390541595525,0.6488530992740309,0.0018811225891113281
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,RF,0.9789829512051734,0.9828358372480704,0.963813536424754,0.972799886388034,0.9247725009918213
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,XGBoost,0.9275426219870664,0.9126930403437046,0.9013204764480648,0.9067729778759416,0.3097546100616455
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,LSTM,0.83974,0.8197710694228144,0.7491074044398556,0.772960166223555,0.1485147476196289
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,CNN-LSTM,0.82582,0.7871292856967358,0.7475588964043998,0.7629943473441559,0.0938863754272461
LBNL_DataFDD,MZVAV_1,raw,clean,0.0,test,stratified,Informer,0.9235,0.8987537841014231,0.9098730305940723,0.9040687390176231,0.4729592800140381
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,LinearSVM,0.6881062610229277,0.646067193045988,0.677144524751907,0.6485120792706375,0.0011050701141357422
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,RF,0.932282480893592,0.9355886673560289,0.8900708549019167,0.9095235216388714,0.9699680805206299
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,XGBoost,0.8882091416813639,0.860680515585953,0.8527001871361057,0.8565510984703584,0.3258180618286133
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,LSTM,0.83884,0.8188124200399247,0.7474102817280757,0.7713545830266226,0.10311698913574219
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,CNN-LSTM,0.82472,0.7851441266690725,0.7469477079164046,0.7619439572571212,0.07749676704406738
LBNL_DataFDD,MZVAV_1,raw,noise,0.01,test,stratified,Informer,0.91222,0.8850090604667415,0.8950577112797786,0.8898240028740527,0.44401979446411133
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,LinearSVM,0.6891718106995884,0.6458542002381242,0.6762850228848765,0.6487014929327948,0.0010938644409179688
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,RF,0.8429967666078777,0.8369750108880544,0.7435993522981308,0.7719068762209156,0.901343822479248
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,XGBoost,0.8193893298059964,0.7731032303224987,0.7556738041871327,0.7634325482810818,0.30924558639526367
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,LSTM,0.82802,0.7984822550658202,0.737024439953941,0.7581325940701309,0.10136604309082031
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,CNN-LSTM,0.81264,0.7650612736837098,0.7392272245190393,0.7500132523931038,0.07002544403076172
LBNL_DataFDD,MZVAV_1,raw,noise,0.05,test,stratified,Informer,0.82438,0.7763596139265653,0.7799164855433354,0.7780965023967966,0.4439558982849121
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,LinearSVM,0.690733392122281,0.6455515456766925,0.6749920862723677,0.6489447713186162,0.0013108253479003906
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,RF,0.8188198118753675,0.805730852414472,0.702650951789838,0.7289389061912845,0.8041586875915527
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,XGBoost,0.7882128159905938,0.7311646985902053,0.7099543043344106,0.7187844731443516,0.326993465423584
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,LSTM,0.81448,0.772953461641926,0.7271062914433466,0.7438449984899779,0.19700288772583008
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,CNN-LSTM,0.79568,0.7403086177520857,0.7262177613302748,0.7325104340463535,0.10911273956298828
LBNL_DataFDD,MZVAV_1,raw,noise,0.1,test,stratified,Informer,0.79314,0.7368035188969703,0.7339096807907,0.7353228469294476,0.5002210140228271
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,LinearSVM,0.6932502939447384,0.6476868972108479,0.6772951995148019,0.6513844664045859,0.0011501312255859375
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,RF,0.8428314226925337,0.8249900483782489,0.7539440060273195,0.7780629633475575,0.8783836364746094
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,XGBoost,0.8472589653145208,0.8118098895761179,0.7888644984936268,0.7989779299887223,0.30818748474121094
