dataset,building,label_mode,tag,fi_type,model,feature,importance_mean,importance_std,method,manipulation,level,scenario
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Return Air Damper Control Signal,-0.022555366158485413,0.004473804496228695,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Exhaust Air Damper Control Signal    ,0.0029440317302942276,0.0012194053269922733,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Cooling Coil Valve Control Signal,0.005375461652874947,0.001393347280099988,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Heating Coil Valve Control Signal,7.753272075206041e-05,0.0021651946008205414,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,Occupancy Mode Indicator,-0.0009991524275392294,0.003734760219231248,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Supply Air Temperature,0.4547920823097229,0.02293829619884491,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Supply Air Temperature Heating Set Point,0.24794158339500427,0.012209497392177582,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Supply Air Temperature Cooling Set Point,0.0726773589849472,0.007033858448266983,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Outdoor Air Temperature,0.4912013113498688,0.02237376570701599,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Return Air Temperature,0.37585997581481934,0.0017602741718292236,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Supply Air Fan Status,0.0017463702242821455,0.0003858259879052639,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Supply Air Fan Speed Control Signal,0.0003297210787422955,0.0018024751916527748,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Outdoor Air Damper Control Signal  ,0.13542553782463074,0.018454015254974365,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Return Air Damper Control Signal,0.07688558846712112,0.0033882781863212585,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Exhaust Air Damper Control Signal    ,0.07185646146535873,0.004797212779521942,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Cooling Coil Valve Control Signal,0.08865084499120712,0.007366888225078583,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,AHU: Heating Coil Valve Control Signal,0.29302364587783813,0.00873441994190216,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,Informer,Occupancy Mode Indicator,0.17354314029216766,0.01734200119972229,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature,0.23676884174346924,0.008233599364757538,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature Heating Set Point,0.09355578571557999,0.002054646611213684,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature Cooling Set Point,0.07949167490005493,0.0023948289453983307,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Outdoor Air Temperature,0.3004131317138672,0.002139046788215637,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Return Air Temperature,0.20535153150558472,0.0019360557198524475,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Fan Status,0.0011871922761201859,0.00046592962462455034,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
