source_dataset,building,label_mode,tag,model,manipulation,level,normalized,true_label,pred_label,value
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Excessive infiltration,31.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Normal,16.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight Lighting Setback,Thermostat measurement bias,1393.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Normal,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Thermostat measurement bias,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Condenser Fouling,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,Excessive infiltration,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,HVAC Setback Error: Early Termination,0.0
