source_dataset,building,label_mode,split_mode,corrupt_where,model,manipulation,level,accuracy,macro_precision,macro_recall,macro_f1,runtime_s,n_classes,train_rows,val_rows,test_rows,scored_rows,n_test_classes_missing_in_train,missing_test_classes_in_train
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,drift,0.1,0.0,0.0,0.0,0.0,0.08039689064025879,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,drift,0.1,0.0,0.0,0.0,0.0,0.01924419403076172,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,drift,0.1,0.0,0.0,0.0,0.0,0.012737035751342773,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,drift,0.1,0.0,0.0,0.0,0.0,0.056017160415649414,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,bias,0.01,0.0,0.0,0.0,0.0,0.0006644725799560547,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,bias,0.01,0.0,0.0,0.0,0.0,0.13695478439331055,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,bias,0.01,0.0,0.0,0.0,0.0,0.08356380462646484,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,bias,0.01,0.0,0.0,0.0,0.0,0.019146442413330078,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,bias,0.01,0.0,0.0,0.0,0.0,0.011444330215454102,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,bias,0.01,0.0,0.0,0.0,0.0,0.05500912666320801,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,bias,0.05,0.0,0.0,0.0,0.0,0.0004887580871582031,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,bias,0.05,0.0,0.0,0.0,0.0,0.14809656143188477,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,bias,0.05,0.0,0.0,0.0,0.0,0.07949495315551758,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,bias,0.05,0.0,0.0,0.0,0.0,0.019494056701660156,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,bias,0.05,0.0,0.0,0.0,0.0,0.011679649353027344,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,bias,0.05,0.0,0.0,0.0,0.0,0.05505537986755371,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,bias,0.1,0.0,0.0,0.0,0.0,0.0005254745483398438,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
